lad_code,lad_name,INDEX_OVERALL,PaidWork__,PaidWork__WorkingHours,PaidWork__Progression/decisionmaking,PaidWork__Employment,PaidWork__WorkingHours__SatisfactoryHrs,PaidWork__Progression/decisionmaking__EmployeeInvolv,PaidWork__Progression/decisionmaking__ProgressionOpp,PaidWork__Employment__Employed,PaidWork__Employment__Managers,UnpaidWork__,UnpaidWork__Care,UnpaidWork__DomesticWork,UnpaidWork__Care__Childcare,UnpaidWork__Care__Sandwich,UnpaidWork__DomesticWork__DomesticUKAV,Money__,Money__Pay,Money__Wealth,Money__Pay__NotLowPay,Money__Pay__wpay,Money__Wealth__HomeMortgage,Power__,Power__Leadership,Power__Participation,Power__Leadership__Councillors,Power__Leadership__LTD,Power__Participation__OrgParticipation,Power__Participation__VotedGE,Education__,Education__Training,Education__Skills,Education__Training__JobTraining,Education__Skills__EnglishGCSE,Education__Skills__MathsGCSE,Health__,Health__HealthStatus,Health__HealthStatus__LifeEx,Health__HealthStatus__GoodHealth
S12000033,Aberdeen City,0.68,0.73,0.62,0.84,,0.62,0.97,0.71,,,0.73,0.66,0.81,0.80,0.52,0.81,0.97,0.97,,0.94,0.99,,0.63,0.37,0.89,0.58,0.15,0.96,0.82,0.70,0.64,0.75,0.64,0.62,0.89,0.33,0.33,0.33,
S12000034,Aberdeenshire,0.67,0.57,0.33,0.80,,0.33,0.98,0.63,,,0.61,0.66,0.56,0.80,0.52,0.56,0.81,0.81,,0.62,0.99,,0.63,0.59,0.67,0.82,0.35,0.67,0.66,0.88,0.90,0.86,0.90,0.75,0.96,0.56,0.56,0.56,
E07000223,Adur,0.65,0.70,0.61,0.82,0.67,0.61,0.98,0.65,0.52,0.83,0.73,0.76,0.69,0.60,0.92,0.69,0.51,0.93,0.09,0.95,0.91,0.09,0.66,0.50,0.83,0.70,0.30,0.90,0.76,0.58,0.45,0.72,0.45,0.49,0.95,0.74,0.74,0.85,0.64
E07000026,Allerdale,0.62,0.59,0.28,0.72,0.78,0.28,0.82,0.61,0.68,0.87,0.72,0.71,0.73,1.00,0.42,0.73,0.43,0.62,0.24,0.72,0.53,0.24,0.58,0.45,0.71,0.51,0.39,0.92,0.50,0.76,0.89,0.64,0.89,0.35,0.93,0.65,0.65,0.54,0.76
E07000032,Amber Valley,0.64,0.72,0.63,0.92,0.62,0.63,0.97,0.86,0.57,0.67,0.26,0.35,0.17,0.28,0.43,0.17,0.53,0.67,0.39,0.55,0.79,0.39,0.83,0.70,0.97,0.94,0.45,0.95,0.99,0.79,0.93,0.65,0.93,0.39,0.92,0.67,0.67,0.63,0.72
S12000041,Angus,0.69,0.75,0.54,0.95,,0.54,0.90,1.00,,,0.76,0.66,0.85,0.80,0.52,0.85,0.70,0.70,,0.83,0.57,,0.69,0.44,0.93,0.64,0.24,0.96,0.90,0.79,0.93,0.64,0.93,0.35,0.94,0.47,0.47,0.47,
N09000001,Antrim and Newtownabbey,0.66,0.86,0.88,0.85,0.85,0.88,0.94,0.77,0.71,1.00,0.45,0.50,0.40,0.37,0.64,0.40,0.60,0.88,0.31,0.81,0.95,0.31,0.66,0.42,0.90,0.62,0.23,0.86,0.94,0.80,0.86,0.74,0.86,0.61,0.88,0.57,0.57,0.49,0.65
N09000011,Ards and North Down,0.66,0.84,0.88,0.85,0.78,0.88,0.94,0.77,0.78,0.78,0.47,0.50,0.43,0.37,0.64,0.43,0.56,0.86,0.25,0.81,0.90,0.25,0.71,0.47,0.95,0.62,0.32,0.95,0.94,0.72,0.86,0.58,0.86,0.37,0.78,0.65,0.65,0.67,0.64
S12000035,Argyll and Bute,0.70,0.83,0.86,0.80,,0.86,0.95,0.64,,,0.67,0.66,0.67,0.80,0.52,0.67,0.62,0.62,,0.53,0.70,,0.70,0.42,0.97,0.44,0.41,0.95,0.98,0.88,0.86,0.89,0.86,0.80,0.97,0.54,0.54,0.54,
N09000002,"Armagh City, Banbridge and Craigavon",0.66,0.79,0.88,0.85,0.62,0.88,0.94,0.77,0.48,0.76,0.45,0.50,0.39,0.37,0.64,0.39,0.75,0.88,0.62,0.81,0.94,0.62,0.58,0.32,0.83,0.48,0.17,0.90,0.77,0.80,0.86,0.73,0.86,0.53,0.92,0.59,0.59,0.45,0.73
E07000224,Arun,0.67,0.68,0.61,0.82,0.61,0.61,0.98,0.65,0.60,0.62,0.70,0.76,0.63,0.60,0.92,0.63,0.53,0.88,0.18,0.95,0.81,0.18,0.66,0.47,0.86,0.63,0.31,0.88,0.84,0.82,0.93,0.72,0.93,0.49,0.95,0.65,0.65,0.42,0.88
E07000170,Ashfield,0.63,0.65,0.47,0.74,0.73,0.47,0.72,0.76,0.64,0.81,0.48,0.35,0.60,0.28,0.43,0.60,0.52,0.73,0.32,0.79,0.67,0.32,0.68,0.49,0.87,0.60,0.38,0.98,0.76,0.79,0.94,0.63,0.94,0.27,1.00,0.68,0.68,0.61,0.74
E07000105,Ashford,0.63,0.53,0.42,0.68,0.50,0.42,0.78,0.58,0.39,0.60,0.73,0.76,0.70,0.60,0.92,0.70,0.50,0.83,0.17,0.95,0.71,0.17,0.71,0.55,0.88,0.70,0.39,0.83,0.92,0.75,0.82,0.69,0.82,0.42,0.95,0.55,0.55,0.40,0.69
E07000200,Babergh,0.58,0.56,0.32,0.90,0.46,0.32,0.86,0.95,0.46,0.45,0.57,0.63,0.50,0.54,0.72,0.50,0.56,0.83,0.29,0.70,0.96,0.29,0.60,0.59,0.61,0.84,0.35,0.63,0.58,0.52,0.40,0.65,0.40,0.36,0.95,0.65,0.65,0.53,0.76
E09000002,Barking and Dagenham,0.58,0.56,0.19,0.86,0.61,0.19,0.94,0.79,0.22,1.00,0.70,0.66,0.74,0.79,0.53,0.74,0.55,0.65,0.44,0.41,0.89,0.44,0.59,0.60,0.57,0.88,0.33,0.75,0.38,0.71,0.86,0.57,0.86,0.27,0.86,0.39,0.39,0.25,0.52
E09000003,Barnet,0.74,0.73,0.81,0.87,0.49,0.81,0.95,0.80,0.42,0.57,0.72,0.66,0.78,0.79,0.53,0.78,0.79,0.98,0.60,0.95,1.00,0.60,0.73,0.57,0.90,0.86,0.27,0.85,0.94,0.85,0.93,0.78,0.93,0.70,0.87,0.63,0.63,0.55,0.70
E08000016,Barnsley,0.61,0.72,0.50,0.84,0.81,0.50,0.87,0.81,0.65,0.97,0.39,0.41,0.37,0.00,0.81,0.37,0.62,0.79,0.46,0.81,0.77,0.46,0.52,0.47,0.57,0.74,0.21,0.71,0.44,0.84,0.89,0.79,0.89,0.59,0.98,0.58,0.58,0.42,0.73
E07000027,Barrow-in-Furness,0.57,0.54,0.28,0.72,0.63,0.28,0.82,0.61,0.71,0.55,0.66,0.71,0.62,1.00,0.42,0.62,0.35,0.51,0.18,0.72,0.30,0.18,0.62,0.49,0.75,0.75,0.23,0.51,1.00,0.66,0.62,0.71,0.62,0.42,0.99,0.59,0.59,0.55,0.64
E07000066,Basildon,0.61,0.64,0.70,0.83,0.38,0.70,0.97,0.69,0.32,0.43,0.75,0.63,0.86,0.54,0.72,0.86,0.25,0.49,0.01,0.58,0.41,0.01,0.60,0.44,0.77,0.64,0.23,0.71,0.83,0.83,0.98,0.69,0.98,0.46,0.91,0.56,0.56,0.47,0.66
E07000084,Basingstoke and Deane,0.66,0.60,0.51,0.85,0.43,0.51,0.83,0.87,0.48,0.37,0.79,0.76,0.81,0.60,0.92,0.81,0.47,0.60,0.34,0.76,0.44,0.34,0.66,0.48,0.85,0.63,0.32,0.72,0.97,0.80,0.90,0.69,0.90,0.45,0.93,0.63,0.63,0.56,0.70
E07000171,Bassetlaw,0.64,0.67,0.47,0.74,0.80,0.47,0.72,0.76,0.72,0.88,0.63,0.35,0.92,0.28,0.43,0.92,0.57,0.85,0.28,0.79,0.92,0.28,0.60,0.47,0.74,0.58,0.35,0.61,0.86,0.55,0.46,0.63,0.46,0.27,1.00,0.80,0.80,0.66,0.94
E06000022,Bath and North East Somerset,0.64,0.73,0.78,0.72,0.69,0.78,0.84,0.61,0.72,0.65,0.51,0.16,0.85,0.16,0.17,0.85,0.54,0.63,0.45,0.84,0.42,0.45,0.75,0.57,0.94,0.72,0.41,0.98,0.90,0.75,0.93,0.58,0.93,0.28,0.87,0.57,0.57,0.41,0.73
E06000055,Bedford,0.61,0.59,0.32,0.81,0.63,0.32,0.89,0.73,0.55,0.71,0.54,0.63,0.44,0.54,0.72,0.44,0.54,0.66,0.42,0.69,0.63,0.42,0.65,0.51,0.79,0.67,0.35,0.91,0.68,0.80,0.97,0.63,0.97,0.26,1.00,0.58,0.58,0.42,0.74
N09000003,Belfast,0.65,0.87,0.88,0.85,0.88,0.88,0.94,0.77,0.93,0.84,0.61,0.50,0.72,0.37,0.64,0.72,0.72,0.87,0.57,0.81,0.92,0.57,0.63,0.38,0.87,0.54,0.22,0.98,0.77,0.59,0.86,0.32,0.86,0.00,0.64,0.47,0.47,0.22,0.73
E09000004,Bexley,0.57,0.43,0.04,0.62,0.63,0.04,0.98,0.25,0.56,0.69,0.62,0.66,0.57,0.79,0.53,0.57,0.40,0.69,0.10,0.79,0.60,0.10,0.56,0.55,0.57,0.69,0.40,0.33,0.80,0.84,0.87,0.81,0.87,0.70,0.92,0.57,0.57,0.43,0.71
E08000025,Birmingham,0.64,0.73,0.74,0.80,0.64,0.74,0.82,0.78,0.40,0.88,0.52,0.35,0.69,0.69,0.00,0.69,0.69,0.74,0.64,0.80,0.68,0.64,0.67,0.49,0.86,0.74,0.24,0.86,0.87,0.80,0.95,0.66,0.95,0.32,1.00,0.43,0.43,0.25,0.61
E07000129,Blaby,0.60,0.63,0.34,0.89,0.67,0.34,0.97,0.81,0.62,0.72,0.67,0.35,0.99,0.28,0.43,0.99,0.49,0.83,0.15,0.83,0.82,0.15,0.62,0.34,0.91,0.44,0.23,0.88,0.93,0.61,0.51,0.70,0.51,0.43,0.98,0.58,0.58,0.45,0.72
E06000008,Blackburn with Darwen,0.64,0.57,0.59,0.59,0.53,0.59,0.54,0.63,0.20,0.87,0.64,0.71,0.58,1.00,0.42,0.58,0.76,0.84,0.68,0.87,0.82,0.68,0.50,0.24,0.77,0.43,0.04,0.66,0.88,0.78,0.91,0.65,0.91,0.34,0.96,0.56,0.56,0.42,0.70
E06000009,Blackpool,0.73,0.82,0.64,0.84,0.97,0.64,0.90,0.77,1.00,0.94,0.76,0.71,0.81,1.00,0.42,0.81,0.72,0.83,0.62,0.71,0.96,0.62,0.78,0.63,0.92,0.88,0.38,0.95,0.89,0.76,0.77,0.74,0.77,0.63,0.86,0.52,0.52,0.18,0.86
W06000019,Blaenau Gwent,0.61,0.64,0.29,0.84,0.78,0.29,0.89,0.79,0.73,0.84,0.65,0.33,0.97,0.33,0.32,0.97,0.65,0.88,0.42,0.99,0.77,0.42,0.51,0.31,0.70,0.50,0.12,0.56,0.85,0.65,0.84,0.47,0.84,0.01,0.93,0.55,0.55,0.51,0.59
E07000033,Bolsover,0.60,0.78,0.63,0.92,0.80,0.63,0.97,0.86,0.68,0.91,0.40,0.35,0.45,0.28,0.43,0.45,0.51,0.59,0.42,0.55,0.62,0.42,0.66,0.48,0.84,0.83,0.13,0.70,0.99,0.65,,0.65,,0.39,0.92,0.59,0.59,0.43,0.74
E08000001,Bolton,0.69,0.63,0.57,0.68,0.65,0.57,0.63,0.73,0.44,0.87,0.71,0.71,0.72,1.00,0.42,0.72,0.73,0.82,0.64,0.78,0.86,0.64,0.63,0.42,0.85,0.58,0.25,0.81,0.88,0.81,0.89,0.73,0.89,0.53,0.92,0.60,0.60,0.48,0.72
E07000136,Boston,0.61,0.77,0.66,0.82,0.82,0.66,0.89,0.75,0.74,0.90,0.32,0.35,0.28,0.28,0.43,0.28,0.60,0.78,0.41,0.77,0.79,0.41,0.69,0.44,0.94,0.58,0.29,1.00,0.89,0.79,0.91,0.66,0.91,0.34,0.99,0.51,0.51,0.16,0.86
E06000058,"Bournemouth, Christchurch and Poole",0.64,0.58,0.26,0.86,0.62,0.26,0.81,0.92,0.65,0.59,0.55,0.16,0.94,0.16,0.17,0.94,0.58,0.74,0.43,0.75,0.72,0.43,0.65,0.52,0.78,0.77,0.28,0.61,0.95,0.84,0.97,0.71,0.97,0.53,0.89,0.66,0.66,0.57,0.74
E06000036,Bracknell Forest,0.66,0.81,0.92,0.93,0.57,0.92,0.90,0.97,0.67,0.46,0.42,0.76,0.08,0.60,0.92,0.08,0.60,0.76,0.44,0.90,0.62,0.44,0.71,0.67,0.74,0.97,0.38,0.63,0.85,0.75,0.78,0.72,0.78,0.49,0.96,0.70,0.70,0.51,0.89
E08000032,Bradford,0.65,0.78,1.00,0.80,0.53,1.00,0.68,0.92,0.22,0.85,0.53,0.41,0.65,0.00,0.81,0.65,0.58,0.63,0.53,0.51,0.75,0.53,0.76,0.55,0.96,0.89,0.21,0.99,0.93,0.76,0.90,0.63,0.90,0.30,0.96,0.50,0.50,0.36,0.64
E07000067,Braintree,0.65,0.66,0.70,0.83,0.45,0.70,0.97,0.69,0.42,0.48,0.72,0.63,0.81,0.54,0.72,0.81,0.43,0.58,0.29,0.58,0.58,0.29,0.61,0.45,0.77,0.61,0.28,0.82,0.72,0.78,0.87,0.69,0.87,0.46,0.91,0.70,0.70,0.68,0.71
E07000143,Breckland,0.62,0.72,0.75,0.80,0.62,0.75,0.84,0.75,0.57,0.66,0.50,0.63,0.37,0.54,0.72,0.37,0.54,0.70,0.39,0.72,0.68,0.39,0.69,0.40,0.98,0.51,0.30,0.98,0.99,0.59,0.55,0.63,0.55,0.30,0.96,0.64,0.64,0.35,0.94
