lad_code,lad_name,INDEX_OVERALL,PaidWork__,PaidWork__WorkingHours,PaidWork__Progression/decisionmaking,PaidWork__Employment,PaidWork__WorkingHours__SatisfactoryHrs,PaidWork__Progression/decisionmaking__EmployeeInvolv,PaidWork__Progression/decisionmaking__ProgressionOpp,PaidWork__Employment__Employed,PaidWork__Employment__Managers,UnpaidWork__,UnpaidWork__Care,UnpaidWork__DomesticWork,UnpaidWork__Care__Childcare,UnpaidWork__Care__Sandwich,UnpaidWork__DomesticWork__DomesticUKAV,Money__,Money__Pay,Money__Wealth,Money__Pay__NotLowPay,Money__Pay__wpay,Money__Wealth__HomeMortgage,Power__,Power__Leadership,Power__Participation,Power__Leadership__Councillors,Power__Leadership__LTD,Power__Participation__OrgParticipation,Power__Participation__VotedGE,Education__,Education__Training,Education__Skills,Education__Training__JobTraining,Education__Skills__EnglishGCSE,Education__Skills__MathsGCSE,Health__,Health__HealthStatus,Health__HealthStatus__LifeEx,Health__HealthStatus__GoodHealth
S12000033,Aberdeen City,0.46,0.60,0.83,0.38,,85.03,50.45,52.34,,,0.34,0.25,0.42,10.50,0.75,31.79,0.44,0.44,,68.26,619.30,,0.57,0.69,0.46,66.67,67.66,39.22,55.79,0.47,0.25,0.69,12.80,79.27,63.36,0.33,0.33,76.93,
S12000034,Aberdeenshire,0.49,0.46,0.60,0.33,,77.96,50.13,46.40,,,0.31,0.25,0.37,10.50,0.75,28.58,0.47,0.47,,68.81,639.30,,0.62,0.45,0.80,57.14,57.76,51.19,92.23,0.59,0.47,0.72,21.30,83.51,62.34,0.50,0.50,78.94,
E07000223,Adur,0.52,0.48,0.46,0.59,0.39,73.74,68.07,58.36,61.02,33.95,0.63,0.93,0.34,22.60,1.93,25.81,0.54,0.32,0.76,61.55,567.00,41.71,0.45,0.59,0.31,62.07,64.33,11.02,63.21,0.38,0.35,0.41,16.80,54.70,52.50,0.61,0.61,81.28,81.07
E07000026,Allerdale,0.47,0.41,0.45,0.49,0.28,73.51,58.23,57.48,58.67,29.11,0.50,0.51,0.49,17.70,0.94,37.33,0.47,0.38,0.56,55.17,691.90,34.08,0.60,0.59,0.62,69.57,59.36,35.35,82.24,0.37,0.45,0.29,20.60,46.20,46.50,0.46,0.46,78.93,79.56
E07000032,Amber Valley,0.42,0.45,0.53,0.44,0.39,75.73,56.01,53.47,61.56,33.43,0.30,0.36,0.24,16.80,0.50,18.42,0.53,0.35,0.71,61.25,606.80,39.67,0.40,0.44,0.36,52.38,60.36,21.32,60.08,0.31,0.25,0.37,12.70,50.90,51.10,0.53,0.53,79.74,80.67
S12000041,Angus,0.41,0.37,0.38,0.35,,71.39,51.76,47.53,,,0.27,0.25,0.29,10.50,0.75,22.43,0.31,0.31,,51.46,661.70,,0.51,0.60,0.43,64.29,63.30,26.31,64.04,0.53,0.53,0.54,23.60,72.71,50.14,0.46,0.46,78.45,
N09000001,Antrim and Newtownabbey,0.55,0.62,0.94,0.54,0.39,88.60,61.60,59.30,62.36,31.43,0.27,0.25,0.29,7.30,1.06,22.23,0.78,0.68,0.88,87.40,656.20,46.30,0.62,0.64,0.61,65.00,65.47,47.61,67.93,0.54,0.21,0.87,11.20,83.40,82.60,0.48,0.48,78.82,80.51
N09000011,Ards and North Down,0.54,0.60,0.94,0.54,0.33,88.60,61.60,59.30,57.42,35.42,0.30,0.25,0.35,7.30,1.06,26.82,0.74,0.67,0.80,87.40,646.90,43.03,0.58,0.59,0.58,65.00,62.17,41.61,69.64,0.53,0.21,0.85,11.20,79.40,83.80,0.48,0.48,79.57,79.38
S12000035,Argyll and Bute,0.48,0.59,0.66,0.51,,79.98,63.23,53.01,,,0.36,0.25,0.47,10.50,0.75,35.95,0.40,0.40,,63.62,627.20,,0.60,0.62,0.57,72.22,60.16,25.92,85.33,0.50,0.32,0.68,15.60,84.62,55.79,0.42,0.42,78.01,
N09000002,"Armagh City, Banbridge and Craigavon",0.53,0.62,0.94,0.54,0.37,88.60,61.60,59.30,64.18,26.14,0.22,0.25,0.18,7.30,1.06,13.70,0.70,0.64,0.76,87.40,610.00,41.78,0.56,0.71,0.41,70.73,66.81,27.57,60.15,0.53,0.21,0.85,11.20,82.60,81.30,0.53,0.53,79.31,81.32
