lad_code,lad_name,region_name,country,index_m,paid_work_m,money_m,unpaid_work_m,power_m,education_m,health_m,index_RatioMM,paid_work_RatioMM,money_RatioMM,unpaid_work_RatioMM,power_RatioMM,education_RatioMM,health_RatioMM,index_w,paid_work_w,money_w,unpaid_work_w,power_w,education_w,health_w
E07000137,East Lindsey,East Midlands,England,0.3013,0.3406,0.3569,0.3795,0.4544,0.2766,0.0000,0.7124,0.9025,0.7772,0.2157,0.4826,0.9071,0.9892,0.2962,0.3115,0.3963,0.3597,0.4670,0.2381,0.0045
E06000018,Nottingham,East Midlands,England,0.3150,0.3288,0.3402,0.2854,0.5287,0.2223,0.1847,0.8166,0.8726,0.7830,0.6438,0.7451,0.8811,0.9739,0.3149,0.3827,0.3848,0.4182,0.3117,0.2799,0.1123
W06000024,Merthyr Tydfil,Wales,Wales,0.3182,0.3387,0.4399,0.2377,0.4894,0.1804,0.2230,0.7193,0.8126,0.7618,0.3305,0.5503,0.8929,0.9676,0.2706,0.4584,0.4459,0.2960,0.1727,0.1324,0.1183
E06000009,Blackpool,North West,England,0.3247,0.3980,0.3668,0.3915,0.5486,0.2226,0.0208,0.8534,0.9307,0.9018,0.6399,0.7188,0.9438,0.9852,0.3079,0.4047,0.2289,0.5697,0.3911,0.2470,0.0062
E08000017,Doncaster,Yorkshire and the Humber,England,0.3437,0.3058,0.3656,0.3883,0.4508,0.2430,0.3088,0.7539,0.8162,0.6968,0.6110,0.5059,0.9021,0.9915,0.3518,0.5105,0.4718,0.3957,0.1801,0.2322,0.3202
W06000016,Rhondda Cynon Taf,Wales,Wales,0.3497,0.4453,0.4621,0.2003,0.4798,0.2465,0.2640,0.7948,0.8815,0.7953,0.5030,0.7555,0.8674,0.9660,0.3473,0.4844,0.5122,0.4008,0.3112,0.2253,0.1498
E08000016,Barnsley,Yorkshire and the Humber,England,0.3565,0.3565,0.3598,0.4473,0.4126,0.2621,0.3007,0.7368,0.9151,0.7069,0.5545,0.4500,0.8194,0.9752,0.3767,0.4137,0.4807,0.4159,0.3713,0.3478,0.2308
W06000019,Blaenau Gwent,Wales,Wales,0.3570,0.3816,0.4088,0.5093,0.5383,0.1738,0.1303,0.7575,0.9110,0.7550,0.5085,0.6211,0.7876,0.9615,0.2591,0.4176,0.4051,0.3279,0.2724,0.1317,0.0000
W06000012,Neath Port Talbot,Wales,Wales,0.3595,0.3317,0.4839,0.4030,0.5199,0.2859,0.1327,0.7856,0.9192,0.7420,0.5713,0.7310,0.7747,0.9753,0.3457,0.4971,0.4612,0.3381,0.3141,0.3950,0.0686
N09000005,Derry City and Strabane,Northern Ireland,Northern Ireland,0.3619,0.1478,0.2876,0.4125,0.5194,0.5486,0.2553,0.7677,0.9193,0.7160,0.5005,0.6029,0.8954,0.9724,0.3647,0.2185,0.3695,0.4203,0.4185,0.5885,0.1731
W06000008,Ceredigion,Wales,Wales,0.3634,0.4492,0.3536,0.4210,0.4413,0.3678,0.1476,0.7711,0.8943,0.7930,0.4275,0.7192,0.8136,0.9789,0.3671,0.5738,0.4205,0.2102,0.4346,0.4635,0.1000
E08000012,Liverpool,North West,England,0.3636,0.3592,0.4098,0.4163,0.6129,0.2083,0.1750,0.8494,0.9326,0.9041,0.6427,0.6750,0.9657,0.9766,0.3598,0.4620,0.2853,0.6398,0.4673,0.1886,0.1158
W06000003,Conwy,Wales,Wales,0.3647,0.3661,0.4419,0.2770,0.4496,0.3056,0.3479,0.7789,0.9335,0.7815,0.4019,0.6975,0.8868,0.9720,0.3489,0.4276,0.4781,0.3298,0.2410,0.3560,0.2607
N09000003,Belfast,Northern Ireland,Northern Ireland,0.3665,0.2264,0.2679,0.5016,0.5892,0.3745,0.2392,0.7908,0.9283,0.7304,0.5309,0.7326,0.8482,0.9743,0.3622,0.3090,0.3704,0.3949,0.4205,0.5118,0.1667
W06000004,Denbighshire,Wales,Wales,0.3668,0.3883,0.4075,0.2533,0.5265,0.3049,0.3202,0.7776,0.9292,0.7727,0.3472,0.7721,0.8748,0.9694,0.3506,0.4709,0.4254,0.3393,0.3691,0.2782,0.2207
E07000138,Lincoln,East Midlands,England,0.3677,0.3903,0.4248,0.4052,0.5659,0.2242,0.1957,0.7416,0.9098,0.7541,0.4452,0.6324,0.7389,0.9690,0.3733,0.3715,0.4342,0.4523,0.4604,0.4229,0.0988
E06000021,Stoke-on-Trent,West Midlands,England,0.3684,0.4174,0.5574,0.1912,0.4784,0.2434,0.3223,0.7524,0.8977,0.8497,0.3550,0.6171,0.8209,0.9740,0.3929,0.4024,0.4249,0.6213,0.3308,0.3322,0.2457
